id,Year,Field,Variety,Kg_He,Area_He,B1_sum,B2_sum,B3_sum,B4_sum,B5_sum,B6_sum,B7_sum,B8_sum,B8A_sum,B9_sum,B10_sum,B11_sum,B12_sum,EVI_sum,GNDVI_sum,NDMI_sum,NDVI_sum,VH_sum,VV_sum,min_Temp,max_Temp,mean_Temp,sum_Temp,median_Temp,stdv_Temp,min_Hum,max_Hum,mean_Hum,sum_Hum,median_Hum,stdv_Hum,min_GGD,max_GGD,mean_GGD,sum_GGD,median_GGD,stdv_GGD,min_Evapo,max_Evapo,mean_Evapo,sum_Evapo,median_Evapo,stdv_Evapo,N.Unit.He,K20.Unit.He,P.Unit.He,CaO.Unit.He,MgO.Unit.He
11,2019,THOMPSON 07,THOMPSON,27008.0882352941,3.4,0.615236639976501,0.901336669921875,0.97285121679306,0.869751155376434,1.06732499599457,1.54854917526245,1.70019793510437,1.7483766078949,1.81790435314178,2.37131977081299,0.647664844989777,1.25544440746307,0.791980683803558,6.18080186843872,1.70010805130005,6.18080186843872,1.99634683132172,-153.573608398438,-89.8643951416016,10.3464285714286,21.1979166666667,16.9612296898911,1560.43313146998,17.3450181159421,2.85399288071626,47.7083333333333,87.7142857142857,67.4857307888499,6208.68723257419,67.78125,8.34904481949112,10.35,21.2,16.9610869565217,1560.42,17.345,2.85404338451733,0.09,4.96,3.7904347826087,348.72,4.045,1.07504041635599,42,60,30,28.8,50
12,2019,THOMPSON 08,THOMPSON,30371.9117647059,3.4,0.607398629188538,1.27393269538879,1.54621589183807,1.34216070175171,1.58339762687683,2.16400122642517,2.35354089736938,2.40091443061829,2.45697140693665,2.96544170379639,0.78894579410553,1.563796043396,0.939953565597534,7.1745433807373,1.4910227060318,7.1745433807373,1.91999936103821,-153.970550537109,-89.3702774047852,10.3464285714286,21.1979166666667,16.9612296898911,1560.43313146998,17.3450181159421,2.85399288071626,47.7083333333333,87.7142857142857,67.4857307888499,6208.68723257419,67.78125,8.34904481949112,10.35,21.2,16.9610869565217,1560.42,17.345,2.85404338451733,0.09,4.96,3.7904347826087,348.72,4.045,1.07504041635599,42,60,30,28.8,50
13,2019,THOMPSON 96,THOMPSON,27943.8421052632,9.5,0.655438959598541,0.945799231529236,1.02116477489471,0.907357275485992,1.10530865192413,1.58755016326904,1.73222577571869,1.76876699924469,1.83486640453339,2.39733695983887,0.717135608196259,1.27197599411011,0.780844390392303,5.90441751480103,1.5292546749115,5.90441751480103,1.83138418197632,-151.359603881836,-90.2419967651367,10.3464285714286,21.1979166666667,16.9612296898911,1560.43313146998,17.3450181159421,2.85399288071626,47.7083333333333,87.7142857142857,67.4857307888499,6208.68723257419,67.78125,8.34904481949112,10.35,21.2,16.9610869565217,1560.42,17.345,2.85404338451733,0.09,4.96,3.7904347826087,348.72,4.045,1.07504041635599,42,60,30,28.8,40
14,2019,CRIMSON 99-00,CRIMSON,53384.9590163934,12.2,0.211013853549957,0.271782606840134,0.477977901697159,0.494234710931778,0.887088596820831,1.86840558052063,2.18798732757568,2.26351046562195,2.38994479179382,2.945716381073,0.987978637218475,1.77547872066498,1.21654939651489,7.56478500366211,4.50675630569458,7.56478500366211,4.33841371536255,-153.022338867188,-89.7498016357422,10.3464285714286,21.1979166666667,16.9612296898911,1560.43313146998,17.3450181159421,2.85399288071626,47.7083333333333,87.7142857142857,67.4857307888499,6208.68723257419,67.78125,8.34904481949112,10.35,21.2,16.9610869565217,1560.42,17.345,2.85404338451733,0.09,4.96,3.7904347826087,348.72,4.045,1.07504041635599,160,320,60,64,80
15,2019,CRIMSON 04,CRIMSON,61283.5416666667,2.4,0.301288813352585,0.306629776954651,0.51648360490799,0.532024443149567,0.95014089345932,1.91005003452301,2.20524311065674,2.29064893722534,2.40568327903748,2.98375511169434,1.00346481800079,1.80425930023193,1.25404977798462,7.68020963668823,4.49756002426147,7.68020963668823,4.36565637588501,-152.6826171875,-89.1485443115234,10.3464285714286,21.1979166666667,16.9612296898911,1560.43313146998,17.3450181159421,2.85399288071626,47.7083333333333,87.7142857142857,67.4857307888499,6208.68723257419,67.78125,8.34904481949112,10.35,21.2,16.9610869565217,1560.42,17.345,2.85404338451733,0.09,4.96,3.7904347826087,348.72,4.045,1.07504041635599,80,160,30,32,40
16,2019,TIMCO 14 CR,TIMCO,50073.0487804878,4.1,0.288648813962936,0.395085334777832,0.655854046344757,0.695209085941315,1.14039790630341,2.43131923675537,2.87275075912476,2.94114303588867,3.0610408782959,3.73893141746521,0.989257872104645,2.05979514122009,1.50787150859833,9.81105613708496,5.71420860290527,9.81105613708496,5.48894882202148,-155.967208862305,-90.3855056762695,10.3464285714286,21.1979166666667,16.9612296898911,1560.43313146998,17.3450181159421,2.85399288071626,47.7083333333333,87.7142857142857,67.4857307888499,6208.68723257419,67.78125,8.34904481949112,10.35,21.2,16.9610869565217,1560.42,17.345,2.85404338451733,0.09,4.96,3.7904347826087,348.72,4.045,1.07504041635599,113,100,30,14.4,50
17,2019,INIAGRAPE ONE 14,INIAGRAPEONE,46748.1818181818,1.1,0.276153594255447,0.355471760034561,0.556004166603088,0.662822425365448,0.997901201248169,1.78936469554901,2.09884762763977,2.19321298599243,2.32721495628357,2.76708364486694,0.525368988513947,1.95259845256805,1.43864727020264,8.67768383026123,4.62278938293457,8.67768383026123,4.13298606872559,-167.695083618164,-102.575187683105,10.3464285714286,21.1979166666667,16.9612296898911,1560.43313146998,17.3450181159421,2.85399288071626,47.7083333333333,87.7142857142857,67.4857307888499,6208.68723257419,67.78125,8.34904481949112,10.35,21.2,16.9610869565217,1560.42,17.345,2.85404338451733,0.09,4.96,3.7904347826087,348.72,4.045,1.07504041635599,158,200,30,62.4,0
19,2019,SABLE 14,SABLE,34794.4047619048,4.2,0.394553750753403,0.498933285474777,0.559490442276001,0.561103940010071,0.662635803222656,0.935506165027618,1.03855729103088,1.06294643878937,1.11513364315033,1.32161521911621,0.367801338434219,0.908495306968689,0.610298156738281,3.53212428092957,1.05409169197083,3.53212428092957,0.981245160102844,-163.471603393555,-99.9409561157227,10.3464285714286,21.1979166666667,16.9612296898911,1560.43313146998,17.3450181159421,2.85399288071626,47.7083333333333,87.7142857142857,67.4857307888499,6208.68723257419,67.78125,8.34904481949112,10.35,21.2,16.9610869565217,1560.42,17.345,2.85404338451733,0.09,4.96,3.7904347826087,348.72,4.045,1.07504041635599,81,120,30,28.8,50
20,2019,SABLE 16,SABLE,8711.25,1.9,0.227509170770645,0.27298167347908,0.391099065542221,0.479732275009155,0.654598414897919,1.03373622894287,1.17623472213745,1.20523738861084,1.28863310813904,1.69314348697662,0.563328146934509,1.17122423648834,0.929109036922455,5.28574562072754,2.33485078811646,5.28574562072754,1.94452393054962,-162.33984375,-92.8079223632812,10.3464285714286,21.1979166666667,16.9612296898911,1560.43313146998,17.3450181159421,2.85399288071626,47.7083333333333,87.7142857142857,67.4857307888499,6208.68723257419,67.78125,8.34904481949112,10.35,21.2,16.9610869565217,1560.42,17.345,2.85404338451733,0.09,4.96,3.7904347826087,348.72,4.045,1.07504041635599,81,120,30,28.8,50
21,2020,THOMPSON 00,THOMPSON,37807.8645833333,9.6,0.165808260440826,0.220647752285004,0.26002511382103,0.278714507818222,0.351063877344131,0.492693871259689,0.541019558906555,0.567286670207977,0.59170526266098,0.910722076892853,6.6146674156189,0.490467250347137,0.322853803634644,2.09858059883118,0.768341839313507,2.09858059883118,0.708392977714539,-256.483673095703,-154.169982910156,10.4145833333333,23.5104166666667,17.7630491551721,1634.20052227583,18.0552083333334,3.15971332639956,43.3333333333333,81.2291666666667,60.4453723589614,5560.97425702445,59.7570921985815,8.24047979796525,10.41,23.51,17.763152173913,1634.21,18.055,3.15982470279805,1.26,6.29,4.62760869565217,425.74,4.75,1.10646190855736,50,60,30,29.5,100
22,2020,THOMPSON 07,THOMPSON,38150.5882352941,3.4,0.315338909626007,0.42369219660759,0.47324213385582,0.42706236243248,0.539502799510956,0.905367314815521,1.04128134250641,1.08227467536926,1.11525332927704,1.41848742961884,0.156667575240135,0.606373310089111,0.348961144685745,3.0173761844635,1.16675662994385,3.0173761844635,1.28887367248535,-254.893768310547,-151.263137817383,10.4145833333333,23.5104166666667,17.7630491551721,1634.20052227583,18.0552083333334,3.15971332639956,43.3333333333333,81.2291666666667,60.4453723589614,5560.97425702445,59.7570921985815,8.24047979796525,10.41,23.51,17.763152173913,1634.21,18.055,3.15982470279805,1.26,6.29,4.62760869565217,425.74,4.75,1.10646190855736,42,60,30,29.5,150
23,2020,THOMPSON 08,THOMPSON,34097.5,3.4,0.384912133216858,0.641072332859039,0.744096219539642,0.67628675699234,0.804603934288025,1.18850469589233,1.33386838436127,1.37939405441284,1.40553975105286,1.80843138694763,0.352206438779831,0.788960993289948,0.448553651571274,3.75427985191345,1.05213129520416,3.75427985191345,1.19344866275787,-255.529861450195,-154.101013183594,10.4145833333333,23.5104166666667,17.7630491551721,1634.20052227583,18.0552083333334,3.15971332639956,43.3333333333333,81.2291666666667,60.4453723589614,5560.97425702445,59.7570921985815,8.24047979796525,10.41,23.51,17.763152173913,1634.21,18.055,3.15982470279805,1.26,6.29,4.62760869565217,425.74,4.75,1.10646190855736,42,60,30,29.5,150
24,2020,THOMPSON 96,THOMPSON,36522.8947368421,9.5,0.411548525094986,0.550350487232208,0.605791866779327,0.553811192512512,0.68085503578186,1.07442033290863,1.21122741699219,1.24700880050659,1.28205800056458,1.69916522502899,0.212930709123611,0.725217938423157,0.418869912624359,3.54312229156494,1.20165526866913,3.54312229156494,1.33222460746765,-256.916381835938,-153.857421875,10.4145833333333,23.5104166666667,17.7630491551721,1634.20052227583,18.0552083333334,3.15971332639956,43.3333333333333,81.2291666666667,60.4453723589614,5560.97425702445,59.7570921985815,8.24047979796525,10.41,23.51,17.763152173913,1634.21,18.055,3.15982470279805,1.26,6.29,4.62760869565217,425.74,4.75,1.10646190855736,50,60,30,29.5,100
25,2020,CRIMSON 99-00,CRIMSON,52419.7592373489,12.2,0.111178532242775,0.14273826777935,0.239659935235977,0.255166709423065,0.437835872173309,0.892917037010193,1.04406309127808,1.09096801280975,1.13802790641785,1.62332594394684,6.66636800765991,0.830892860889435,0.57101309299469,3.73548054695129,2.1639039516449,3.73548054695129,2.07555961608887,-256.981201171875,-153.586990356445,10.4145833333333,23.5104166666667,17.7630491551721,1634.20052227583,18.0552083333334,3.15971332639956,43.3333333333333,81.2291666666667,60.4453723589614,5560.97425702445,59.7570921985815,8.24047979796525,10.41,23.51,17.763152173913,1634.21,18.055,3.15982470279805,1.26,6.29,4.62760869565217,425.74,4.75,1.10646190855736,160,320,60,64,300
26,2020,CRIMSON 04,CRIMSON,52500.7656182423,2.4,0.0977961346507072,0.101874813437462,0.173514172434807,0.181416913866997,0.323153883218765,0.628187894821167,0.718441009521484,0.755799114704132,0.781968414783478,1.12566459178925,3.75765180587769,0.594669997692108,0.41287887096405,2.80750632286072,1.56957828998566,2.80750632286072,1.52900207042694,-254.044906616211,-152.004974365234,10.4145833333333,23.5104166666667,17.7630491551721,1634.20052227583,18.0552083333334,3.15971332639956,43.3333333333333,81.2291666666667,60.4453723589614,5560.97425702445,59.7570921985815,8.24047979796525,10.41,23.51,17.763152173913,1634.21,18.055,3.15982470279805,1.26,6.29,4.62760869565217,425.74,4.75,1.10646190855736,80,160,30,32,100
27,2020,TIMCO 14 CR,TIMCO,74931.2195121951,4.1,0.148060351610184,0.215614199638367,0.390071868896484,0.388782232999802,0.70036655664444,1.63399088382721,1.95853364467621,2.03672075271606,2.09229898452759,2.89892673492432,7.12775182723999,1.27734208106995,0.867528140544891,6.36626243591309,3.97803425788879,6.36626243591309,3.97635436058044,-263.220916748047,-156.320037841797,10.4145833333333,23.5104166666667,17.7630491551721,1634.20052227583,18.0552083333334,3.15971332639956,43.3333333333333,81.2291666666667,60.4453723589614,5560.97425702445,59.7570921985815,8.24047979796525,10.41,23.51,17.763152173913,1634.21,18.055,3.15982470279805,1.26,6.29,4.62760869565217,425.74,4.75,1.10646190855736,80,160,30,32,200
28,2020,INIAGRAPE ONE 14,INIAGRAPEONE,24633.1818181818,1.1,0.141972720623016,0.175288319587708,0.387104481458664,0.339954286813736,0.723870933055878,2.02813100814819,2.53265690803528,2.60873126983643,2.6979615688324,2.90697884559631,1.26711940765381,1.34429681301117,0.819135844707489,7.64940071105957,4.98945569992065,7.64940071105957,5.1546950340271,-273.071014404297,-170.699081420898,10.4145833333333,23.5104166666667,17.7630491551721,1634.20052227583,18.0552083333334,3.15971332639956,43.3333333333333,81.2291666666667,60.4453723589614,5560.97425702445,59.7570921985815,8.24047979796525,10.41,23.51,17.763152173913,1634.21,18.055,3.15982470279805,1.26,6.29,4.62760869565217,425.74,4.75,1.10646190855736,140,220,30,48,200
29,2020,INIAGRAPE ONE 15,INIAGRAPEONE,26804.8333333333,3,0.123381249606609,0.22069425880909,0.504544615745544,0.42113795876503,0.941861689090729,2.75304937362671,3.44735550880432,3.52625846862793,3.66681098937988,4.22424364089966,0.990625321865082,1.75102925300598,1.02750635147095,9.65423488616943,6.87707042694092,9.65423488616943,7.19944477081299,-256.305023193359,-158.096771240234,10.4145833333333,23.5104166666667,17.7630491551721,1634.20052227583,18.0552083333334,3.15971332639956,43.3333333333333,81.2291666666667,60.4453723589614,5560.97425702445,59.7570921985815,8.24047979796525,10.41,23.51,17.763152173913,1634.21,18.055,3.15982470279805,1.26,6.29,4.62760869565217,425.74,4.75,1.10646190855736,140,220,30,48,200
30,2020,SABLE 14,SABLE,50314.7256097561,4.2,0.280505388975143,0.393206238746643,0.441769063472748,0.434109389781952,0.504388511180878,0.766796290874481,0.869889676570892,0.884026944637299,0.91325056552887,1.02754580974579,0.76149320602417,0.553793668746948,0.331828504800797,2.49102759361267,0.741235196590424,2.49102759361267,0.752824604511261,-264.855499267578,-160.507339477539,10.4145833333333,23.5104166666667,17.7630491551721,1634.20052227583,18.0552083333334,3.15971332639956,43.3333333333333,81.2291666666667,60.4453723589614,5560.97425702445,59.7570921985815,8.24047979796525,10.41,23.51,17.763152173913,1634.21,18.055,3.15982470279805,1.26,6.29,4.62760869565217,425.74,4.75,1.10646190855736,81,180,30,28.8,200
31,2020,SABLE 16,SABLE,40519.8267008986,1.9,0.0660690069198608,0.074397973716259,0.121617861092091,0.146724551916122,0.220519870519638,0.399019747972488,0.468662619590759,0.490420788526535,0.517165184020996,0.674989640712738,0.2104861587286,0.404578447341919,0.289104342460632,1.71282625198364,0.931715786457062,1.71282625198364,0.825423181056976,-271.853332519531,-164.794570922852,10.4145833333333,23.5104166666667,17.7630491551721,1634.20052227583,18.0552083333334,3.15971332639956,43.3333333333333,81.2291666666667,60.4453723589614,5560.97425702445,59.7570921985815,8.24047979796525,10.41,23.51,17.763152173913,1634.21,18.055,3.15982470279805,1.26,6.29,4.62760869565217,425.74,4.75,1.10646190855736,0,60,30,0,200
