Continent;Country;Series;Year;Unit;Value
Europe;Switzerland;"Table grapes consumption";2016;tonnes;33665
Asia;"Syrian Arab Republic";"Table grapes consumption";2016;tonnes;206618
Asia;"Taiwan, China";"Table grapes consumption";2016;tonnes;105094
Asia;Tajikistan;"Table grapes consumption";2016;tonnes;143942
Africa;"Tanzania, United Republic";"Table grapes consumption";2016;tonnes;4974
Asia;Thailand;"Table grapes consumption";2016;tonnes;143034
Africa;Togo;"Table grapes consumption";2016;tonnes;136
America;"Trinidad And Tobago";"Table grapes consumption";2016;tonnes;1319
Africa;Tunisia;"Table grapes consumption";2016;tonnes;80843
Asia;Turkey;"Table grapes consumption";2016;tonnes;1826853
Asia;Turkmenistan;"Table grapes consumption";2016;tonnes;204820
Africa;Uganda;"Table grapes consumption";2016;tonnes;62
Europe;Ukraine;"Table grapes consumption";2016;tonnes;50687
Europe;"United Kingdom";"Table grapes consumption";2016;tonnes;214755
America;"United States";"Table grapes consumption";2016;tonnes;1189000
America;Uruguay;"Table grapes consumption";2016;tonnes;3355
Asia;Uzbekistan;"Table grapes consumption";2016;tonnes;666948
Oceania;Vanuatu;"Table grapes consumption";2016;tonnes;26
America;Venezuela;"Table grapes consumption";2016;tonnes;24956
Asia;Vietnam;"Table grapes consumption";2016;tonnes;59307
Asia;Yemen;"Table grapes consumption";2016;tonnes;142680
Africa;Zambia;"Table grapes consumption";2016;tonnes;269
Africa;Zimbabwe;"Table grapes consumption";2016;tonnes;1722
